dn,P,u,v,w
7.3592e+05,15.549,0.14569,0.18756,-0.012348
7.3592e+05,15.549,0.15724,0.18384,-0.016172
7.3592e+05,15.543,0.13907,0.19015,-0.010425
7.3592e+05,15.543,0.15169,0.15934,0.0029525
7.3592e+05,15.561,0.13898,0.17892,0.0032196
7.3592e+05,15.543,0.1172,0.17604,0.0076101
7.3592e+05,15.555,0.13721,0.18789,0.0064702
7.3592e+05,15.549,0.13815,0.1807,0.0052577
7.3592e+05,15.543,0.13124,0.18432,0.0032078
7.3592e+05,15.549,0.12642,0.17797,0.0008816
7.3592e+05,15.567,0.14367,0.1734,-0.00083976
7.3592e+05,15.58,0.14121,0.17118,0.0030298
7.3592e+05,15.543,0.13801,0.15566,0.0034661
7.3592e+05,15.561,0.12358,0.16147,0.0032746
7.3592e+05,15.574,0.12508,0.17085,0.0016154
7.3592e+05,15.561,0.15932,0.16485,-0.0016747
7.3592e+05,15.567,0.12424,0.17817,-0.0011645
7.3592e+05,15.555,0.10085,0.1693,-0.0019848
7.3592e+05,15.555,0.10744,0.16669,-0.0029346
7.3592e+05,15.567,0.12518,0.17098,-0.0023813
7.3592e+05,15.567,0.10486,0.15465,-0.00039883
7.3592e+05,15.567,0.10754,0.1633,0.0039579
7.3592e+05,15.567,0.11152,0.14863,0.0065648
7.3592e+05,15.567,0.12101,0.16669,0.01239
7.3592e+05,15.555,0.11584,0.15024,0.017733
7.3592e+05,15.574,0.12739,0.15626,0.018217
7.3592e+05,15.555,0.11624,0.14175,0.016471
7.3592e+05,15.555,0.12575,0.15019,0.014981
7.3592e+05,15.561,0.12527,0.13376,0.011465
7.3592e+05,15.555,0.10855,0.11476,0.0064316
7.3592e+05,15.549,0.12074,0.13947,0.0095126
7.3592e+05,15.549,0.11269,0.14034,0.011331
7.3592e+05,15.561,0.10646,0.14195,0.01423
7.3592e+05,15.555,0.11387,0.13758,0.011275
7.3592e+05,15.561,0.097415,0.12304,0.0063896
7.3592e+05,15.543,0.11093,0.12238,0.0017211
7.3592e+05,15.561,0.08112,0.12041,0.006912
7.3592e+05,15.567,0.13456,0.13989,0.012907
7.3592e+05,15.561,0.11251,0.12839,0.0069508
7.3592e+05,15.555,0.11257,0.12845,0.0049524
7.3592e+05,15.561,0.12074,0.13947,0.0095126
7.3592e+05,15.555,0.12233,0.12272,0.012059
7.3592e+05,15.574,0.11421,0.14213,0.0084248
7.3592e+05,15.567,0.12559,0.13828,0.0096075
7.3592e+05,15.567,0.15419,0.16233,0.017123
7.3592e+05,15.58,0.1297,0.13347,0.012581
7.3592e+05,15.574,0.12606,0.12435,0.010212
7.3592e+05,15.555,0.1292,0.117,0.010099
7.3592e+05,15.58,0.12075,0.10909,0.0066256
7.3592e+05,15.567,0.12682,0.11278,0.0059092
7.3592e+05,15.574,0.13019,0.10987,0.0069361
7.3592e+05,15.574,0.13675,0.10723,0.0070755
7.3592e+05,15.567,0.12644,0.10064,0.0085814
7.3592e+05,15.574,0.11453,0.095565,0.007074
7.3592e+05,15.586,0.10734,0.0892,0.0096857
7.3592e+05,15.561,0.13035,0.081702,0.0042619
7.3592e+05,15.567,0.12744,0.093495,0.0054347
7.3592e+05,15.567,0.14759,0.079269,0.0068212
7.3592e+05,15.58,0.15835,0.066478,0.0099949
7.3592e+05,15.58,0.12906,0.076785,0.0071151
7.3592e+05,15.58,0.14215,0.063911,0.0073467
7.3592e+05,15.58,0.13384,0.060365,0.0079798
